wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Voting_Pred,Accuracy_Voting_Pred_Prob,FMeasure_Voting_Pred,FMeasure_Voting_Pred_Prob,GMean_Voting_Pred,GMean_Voting_Pred_Prob,Accuracy_RF_Pred,Accuracy_RF_Pred_Prob,FMeasure_RF_Pred,FMeasure_RF_Pred_Prob,GMean_RF_Pred,GMean_RF_Pred_Prob,Accuracy_Ada_Pred,Accuracy_Ada_Pred_Prob,FMeasure_Ada_Pred,FMeasure_Ada_Pred_Prob,GMean_Ada_Pred,GMean_Ada_Pred_Prob,Function to be selected
20,1,0,8,65,28,6,4,16,0.706766917,465,1.0,2,0.0,0.30526315800000003,0,0,21.9,1,0.8,True,True,0.98612426077106,True,0.9666053012721322,True,0.8916050825494836,True,1.0,True,1.0,True,1.0,True,0.9873013384295726,True,0.9989465167602892,True,0.999065128006346,GMean_Ada_Pred
4,2,0,2,7,4,2,0,2,0.944444444,78,0.166666667,6,0.846153846,0.444444444,1,1,17.0,1,0.5,False,False,0.06374975362798979,False,0.3858776961822123,False,0.020794858842640148,False,0.1,False,0.1,False,0.2,False,0.0006564044135227826,False,6.781117380216169e-10,False,7.997150069504866e-10,GMean_Ada_Pred
29,1,1,12,57,250,6,8,27,0.8898809520000001,417,1.0,3,0.0,0.183673469,0,0,12.96551724,6,1.2414,False,True,0.6641000177003087,True,0.6666050241121947,True,0.6666325822874218,True,0.8,True,1.0,True,0.9,True,0.9634210628432008,True,0.9999998248207104,True,0.9130310313058326,GMean_Ada_Pred
9,4,0,0,13,18,0,0,9,0.75,78,1.0,0,0.901234568,0.518518519,2,5,7.222222222,2,1.0,False,False,0.3566960053135845,True,0.6113398108726783,False,0.3846926000110808,True,0.7,False,0.1,False,0.2,False,0.4288403135475414,False,0.0007841355327755522,False,0.0007841355327755522,GMean_Ada_Pred
1,1,0,3,18,0,2,2,1,2.0,82,0.0,0,0.0,1.0,0,0,81.0,0,0.0,False,False,0.09475715576441816,True,0.5268297524090371,False,0.2433834813754638,True,0.7,False,0.5,True,0.6,True,0.9912031645007596,True,0.9928553694441276,False,0.0007841355327755669,GMean_Ada_Pred
16,1,0,8,82,0,1,8,14,0.066666667,684,1.0,1,0.0,0.395833333,0,0,41.6875,3,1.6875,True,True,0.999868271200158,True,0.9898496953624628,True,0.9987774537783828,True,1.0,True,0.9,True,1.0,True,0.9873013384295726,True,0.9989465167602892,True,0.999065128006346,GMean_Ada_Pred
25,1,0,10,33,170,10,0,25,0.85,603,1.0,0,0.0,0.5066666670000001,0,0,22.72,22,3.36,True,False,0.4158235641144256,True,0.6968535796931329,True,0.7510189643710917,True,0.6,True,0.7,True,1.0,False,0.0013413448781231395,False,0.0011058052782258838,True,0.999065128006346,GMean_Ada_Pred
16,1,0,5,59,0,4,3,13,0.56,410,1.0,2,0.0,0.375,0,0,24.3125,2,0.875,True,True,0.9679768895586596,True,0.9535418115841484,True,0.9317598414909279,True,0.8,True,0.8,True,0.8,True,0.5289101765740515,True,0.9989465167602892,True,0.999065128006346,GMean_Ada_Pred
5,1,0,4,18,0,3,2,5,0.5,69,1.0,1,0.0,0.6,0,0,12.4,3,1.0,True,False,0.33150466309042176,False,0.40180160740901627,False,0.1487699021839546,False,0.1,False,0.5,False,0.0,False,0.0006539610222269287,False,6.995997023911664e-06,False,6.995997023911664e-06,GMean_Ada_Pred
6,2,0,5,40,0,1,5,5,0.2,283,1.0,1,0.8620689659999999,0.444444444,1,1,46.0,1,0.6667,True,False,0.4930901614494496,True,0.8957697722042188,True,0.5760195158116618,True,0.7,True,0.7,True,0.8,True,0.951735053417424,True,0.9989465167602892,True,0.999065128006346,GMean_Ada_Pred
